round,club,opponent,fixture
1,ARS,MCI,1
2,ARS,CHE,14
3,ARS,WHU,21
4,ARS,CAR,33
5,ARS,NEW,46
6,ARS,EVE,51
7,ARS,WAT,61
8,ARS,FUL,74
9,ARS,LEI,81
10,ARS,CRY,93
11,ARS,LIV,101
12,ARS,WOL,111
13,ARS,BOU,121
14,ARS,TOT,131
15,ARS,MUN,145
16,ARS,HUD,151
17,ARS,SOU,167
18,ARS,BUR,171
19,ARS,BHA,181
20,ARS,LIV,196
21,ARS,FUL,201
22,ARS,WHU,220
23,ARS,CHE,221
24,ARS,CAR,231
25,ARS,MCI,248
26,ARS,HUD,254
27,ARS,SOU,261
28,ARS,BOU,271
29,ARS,TOT,287
30,ARS,MUN,291
32,ARS,NEW,311
33,ARS,EVE,323
34,ARS,WAT,340
35,ARS,CRY,341
35,ARS,WOL,310
36,ARS,LEI,355
37,ARS,BHA,361
38,ARS,BUR,372
1,BHA,WAT,9
2,BHA,MUN,11
3,BHA,LIV,25
4,BHA,FUL,31
5,BHA,SOU,47
6,BHA,TOT,52
7,BHA,MCI,67
8,BHA,WHU,71
9,BHA,NEW,88
10,BHA,WOL,91
11,BHA,EVE,105
12,BHA,CAR,112
13,BHA,LEI,122
14,BHA,HUD,135
15,BHA,CRY,142
16,BHA,BUR,153
17,BHA,CHE,161
18,BHA,BOU,172
19,BHA,ARS,181
20,BHA,EVE,191
21,BHA,WHU,209
22,BHA,LIV,211
23,BHA,MUN,226
24,BHA,FUL,233
25,BHA,WAT,241
26,BHA,BUR,251
28,BHA,LEI,275
29,BHA,HUD,282
30,BHA,CRY,294
32,BHA,SOU,312
32,BHA,CHE,265
34,BHA,BOU,331
34,BHA,CAR,302
35,BHA,WOL,350
35,BHA,TOT,328
36,BHA,NEW,351
37,BHA,ARS,361
38,BHA,MCI,371
1,BOU,CAR,2
2,BOU,WHU,20
3,BOU,EVE,22
4,BOU,CHE,34
5,BOU,LEI,41
6,BOU,BUR,53
7,BOU,CRY,62
8,BOU,WAT,80
9,BOU,SOU,82
10,BOU,FUL,94
11,BOU,MUN,102
12,BOU,NEW,119
13,BOU,ARS,121
14,BOU,MCI,138
15,BOU,HUD,141
16,BOU,LIV,152
17,BOU,WOL,170
18,BOU,BHA,172
19,BOU,TOT,189
20,BOU,MUN,197
21,BOU,WAT,202
22,BOU,EVE,216
23,BOU,WHU,222
24,BOU,CHE,232
25,BOU,CAR,243
26,BOU,LIV,255
27,BOU,WOL,262
28,BOU,ARS,271
29,BOU,MCI,281
30,BOU,HUD,295
31,BOU,NEW,301
32,BOU,LEI,317
33,BOU,BUR,321
34,BOU,BHA,331
35,BOU,FUL,342
36,BOU,SOU,358
37,BOU,TOT,362
38,BOU,CRY,373
1,BUR,SOU,8
2,BUR,WAT,12
3,BUR,FUL,23
4,BUR,MUN,32
5,BUR,WOL,50
6,BUR,BOU,53
7,BUR,CAR,63
8,BUR,HUD,72
9,BUR,MCI,87
10,BUR,CHE,92
11,BUR,WHU,109
12,BUR,LEI,116
13,BUR,NEW,123
14,BUR,CRY,134
15,BUR,LIV,143
16,BUR,BHA,153
17,BUR,TOT,168
18,BUR,ARS,171
19,BUR,EVE,182
20,BUR,WHU,192
21,BUR,HUD,206
22,BUR,FUL,212
23,BUR,WAT,229
24,BUR,MUN,235
25,BUR,SOU,242
26,BUR,BHA,251
27,BUR,TOT,263
28,BUR,NEW,279
29,BUR,CRY,283
30,BUR,LIV,297
31,BUR,LEI,303
