first_name,second_name,element,club,position
Petr,Cech,1,ARS,GK
Bernd,Leno,2,ARS,GK
Laurent,Koscielny,3,ARS,CB
Héctor,Bellerín,4,ARS,FB
Nacho,Monreal,5,ARS,FB
Rob,Holding,6,ARS,CB
Shkodran,Mustafi,7,ARS,CB
Sead,Kolasinac,8,ARS,CB
Konstantinos,Mavropanos,10,ARS,CB
Stephan,Lichtsteiner,11,ARS,FB
Sokratis,Papastathopoulos,12,ARS,CB
Mesut,Özil,13,ARS,AM
Aaron,Ramsey,14,ARS,AM
Alex,Iwobi,15,ARS,AM
Mohamed,Elneny,16,ARS,DM
Granit,Xhaka,17,ARS,DM
Henrikh,Mkhitaryan,18,ARS,AM
Reiss,Nelson,19,ARS,AM
Ainsley,Maitland-Niles,20,ARS,AM
Danny,Welbeck,21,ARS,ST
Alexandre,Lacazette,22,ARS,ST
Pierre-Emerick,Aubameyang,23,ARS,ST
Lucas,Torreira,450,ARS,DM
Matteo,Guendouzi,451,ARS,DM
Emiliano,Martínez,542,ARS,GK
Emile,Smith-Rowe,545,ARS,DM
Zech,Medley,546,ARS,DM
Edward,Nketiah,552,ARS,DM
Bukayo,Saka,563,ARS,DM
Joseph,Willock,566,ARS,DM
Carl,Jenkinson,581,ARS,CB
Denis,Suárez,586,ARS,ST
Asmir,Begovic,24,BOU,GK
Artur,Boruc,25,BOU,GK
Simon,Francis,26,BOU,FB
Steve,Cook,27,BOU,CB
Charlie,Daniels,28,BOU,FB
Adam,Smith,29,BOU,FB
Tyrone,Mings,30,BOU,CB
Nathan,Aké,31,BOU,CB
Jack,Simpson,32,BOU,CB
Marc,Pugh,34,BOU,DM
Andrew,Surman,35,BOU,DM
Junior,Stanislas,36,BOU,AM
Dan,Gosling,37,BOU,DM
Jordon,Ibe,38,BOU,AM
Lewis,Cook,39,BOU,AM
Ryan,Fraser,40,BOU,AM
Emerson,Hyndman,41,BOU,AM
David,Brooks,42,BOU,AM
Callum,Wilson,43,BOU,ST
Lys,Mousset,44,BOU,ST
Joshua,King,45,BOU,ST
Jermain,Defoe,46,BOU,ST
Nathaniel,Clyne,241,BOU,FB
Dominic,Solanke,259,BOU,FB
Diego,Rico,473,BOU,FB
Jefferson,Lerma,494,BOU,DM
Chris,Mepham,580,BOU,DM
Sam,Surridge,599,BOU,DM
Kyle,Taylor,600,BOU,DM
Nnamdi,Ofoborh,613,BOU,DM
Mark,Travers,616,BOU,DM
Matt,Butcher,620,BOU,DM
Mathew,Ryan,47,BHA,GK
Lewis,Dunk,48,BHA,CB
Shane,Duffy,49,BHA,CB
Bruno,Saltor Grau,50,BHA,CB
Gaëtan,Bong,51,BHA,CB
Markus,Suttner,52,BHA,FB
Ezequiel,Schelotto,53,BHA,FB
Leon,Balogun,54,BHA,DM
Anthony,Knockaert,55,BHA,AM
Dale,Stephens,56,BHA,DM
Beram,Kayal,57,BHA,DM
Solomon,March,58,BHA,DM
Pascal,Groß,59,BHA,AM
Davy,Pröpper,60,BHA,DM
José Heriberto,Izquierdo Mena,61,BHA,DM
Glenn,Murray,62,BHA,ST
Tomer,Hemed,63,BHA,ST
Sam,Baldock,64,BHA,ST
Jürgen,Locadia,65,BHA,ST
Florin,Andone,66,BHA,ST
David,Button,179,BHA,GK
Jason,Steele,439,BHA,GK
Bernardo,Fernandes da Silva Junior,440,BHA,DM
Yves,Bissouma,466,BHA,DM
Alireza,Jahanbakhsh,476,BHA,DM
Martín,Montoya,503,BHA,DM
Viktor,Gyokeres,551,BHA,DM
Ben,White,559,BHA,DM
Max,Sanders,572,BHA,DM
Dan,Burn,582,BHA,DM
Jayson,Molumby,617,BHA,DM
Tom,Heaton,67,BUR,GK
Nick,Pope,68,BUR,GK
Matthew,Lowton,69,BUR,FB
Ben,Mee,70,BUR,CB
Stephen,Ward,71,BUR,FB
James,Tarkowski,72,BUR,CB
Kevin,Long,73,BUR,CB
