first_name,second_name,id,club,position,player_id,used,new or old
Shkodran,Mustafi,1,ARS,CB,,,
Héctor,Bellerín,2,ARS,FB,,,
Sead,Kolasinac,3,ARS,FB,342,1,new
Ainsley,Maitland-Niles,4,ARS,FB,,,
Sokratis,Papastathopoulos,5,ARS,FB,371,1,
Nacho,Monreal,6,ARS,FB,,,
Laurent,Koscielny,7,ARS,CB,,,
Konstantinos,Mavropanos,8,ARS,CB,,,
Carl,Jenkinson,9,ARS,CB,,,
Rob,Holding,10,ARS,CB,,,
Pierre-Emerick,Aubameyang,11,ARS,ST,318,1,
Alexandre,Lacazette,12,ARS,ST,3277,1,
Edward,Nketiah,13,ARS,ST,,,
Bernd,Leno,14,ARS,GK,181,1,new
Mesut,Özil,15,ARS,AM,,,
Henrikh,Mkhitaryan,16,ARS,AM,317,1,
Granit,Xhaka,18,ARS,DM,204,1,
Lucas,Torreira,19,ARS,DM,,,
Mohamed,Elneny,20,ARS,DM,,,
Matteo,Guendouzi,21,ARS,DM,,,
David,Luiz Moreira Marinho,106,ARS,CB,1676,1,
Emiliano,Martínez,427,ARS,GK,,,
Calum,Chambers,467,ARS,FB,,,
Daniel,Ceballos Fernández,469,ARS,AM,,,
Nicolas,Pépé,488,ARS,AM,5656,1,new
Reiss,Nelson,489,ARS,AM,,,
Joseph,Willock,490,ARS,AM,,,
Gabriel Teodoro,Martinelli Silva,504,ARS,AM,,,
Kieran,Tierney,515,ARS,FB,,,
Bukayo,Saka,541,ARS,ST,,,
Ahmed,El Mohamady,22,AVL,AM,,,
James,Chester,23,AVL,DM,,,
Neil,Taylor,24,AVL,DM,,,
Kortney,Hause,25,AVL,CB,,,
Jonathan,Kodjia,26,AVL,CB,,,
Ørjan,Nyland,27,AVL,CB,,,
Conor,Hourihane,28,AVL,CB,,,
Jack,Grealish,29,AVL,AM,675,1,
Anwar,El Ghazi,30,AVL,AM,,,
John,McGinn,31,AVL,AM,7723,1,
Andre,Green,32,AVL,DM,,,
Birkir,Bjarnason,33,AVL,DM,,,
Keinan,Davis,34,AVL,DM,,,
Henri,Lansbury,35,AVL,DM,,,
José Ignacio,Peleteiro Romallo,36,AVL,DM,,,
Tom,Heaton,94,AVL,GK,,,
Matt,Targett,309,AVL,FB,884,1,
Wesley,Moraes,428,AVL,ST,7724,1,
Jed,Steer,429,AVL,CB,,,
Tyrone,Mings,445,AVL,CB,1024,1,
