club,opponent,round,was_home,date
ARS,NEW,1,,
AVL,TOT,1,,
BOU,SHU,1,,
BHA,WAT,1,,
BUR,SOU,1,,
CHE,MUN,1,,
CRY,EVE,1,,
EVE,CRY,1,,
LEI,WOL,1,,
LIV,NOR,1,,
MCI,WHU,1,,
MUN,CHE,1,,
NEW,ARS,1,,
NOR,LIV,1,,
SHU,BOU,1,,
SOU,BUR,1,,
TOT,AVL,1,,
WAT,BHA,1,,
WHU,MCI,1,,
WOL,LEI,1,,
ARS,BUR,2,,
AVL,BOU,2,,
BOU,AVL,2,,
BHA,WHU,2,,
BUR,ARS,2,,
CHE,LEI,2,,
CRY,SHU,2,,
EVE,WAT,2,,
LEI,CHE,2,,
LIV,SOU,2,,
MCI,TOT,2,,
MUN,WOL,2,,
NEW,NOR,2,,
NOR,NEW,2,,
SHU,CRY,2,,
SOU,LIV,2,,
TOT,MCI,2,,
WAT,EVE,2,,
WHU,BHA,2,,
WOL,MUN,2,,
ARS,LIV,3,,
AVL,EVE,3,,
BOU,MCI,3,,
BHA,SOU,3,,
BUR,WOL,3,,
CHE,NOR,3,,
CRY,MUN,3,,
EVE,AVL,3,,
LEI,SHU,3,,
LIV,ARS,3,,
MCI,BOU,3,,
MUN,CRY,3,,
NEW,TOT,3,,
NOR,CHE,3,,
SHU,LEI,3,,
SOU,BHA,3,,
TOT,NEW,3,,
WAT,WHU,3,,
WHU,WAT,3,,
WOL,BUR,3,,
ARS,TOT,4,,
AVL,CRY,4,,
BOU,LEI,4,,
BHA,MCI,4,,
BUR,LIV,4,,
CHE,SHU,4,,
CRY,AVL,4,,
EVE,WOL,4,,
LEI,BOU,4,,
LIV,BUR,4,,
MCI,BHA,4,,
MUN,SOU,4,,
NEW,WAT,4,,
NOR,WHU,4,,
SHU,CHE,4,,
SOU,MUN,4,,
TOT,ARS,4,,
WAT,NEW,4,,
WHU,NOR,4,,
WOL,EVE,4,,
ARS,WAT,5,,
AVL,WHU,5,,
BOU,EVE,5,,
BHA,BUR,5,,
BUR,BHA,5,,
CHE,WOL,5,,
CRY,TOT,5,,
EVE,BOU,5,,
LEI,MUN,5,,
LIV,NEW,5,,
MCI,NOR,5,,
MUN,LEI,5,,
NEW,LIV,5,,
NOR,MCI,5,,
SHU,SOU,5,,
SOU,SHU,5,,
TOT,CRY,5,,
WAT,ARS,5,,
WHU,AVL,5,,
WOL,CHE,5,,
ARS,AVL,6,,
AVL,ARS,6,,
BOU,SOU,6,,
BHA,NEW,6,,
BUR,NOR,6,,
CHE,LIV,6,,
CRY,WOL,6,,
EVE,SHU,6,,
LEI,TOT,6,,
LIV,CHE,6,,
MCI,WAT,6,,
MUN,WHU,6,,
NEW,BHA,6,,
NOR,BUR,6,,
SHU,EVE,6,,
SOU,BOU,6,,
TOT,LEI,6,,
WAT,MCI,6,,
WHU,MUN,6,,
WOL,CRY,6,,
ARS,MUN,7,,
AVL,BUR,7,,
BOU,WHU,7,,
BHA,CHE,7,,
BUR,AVL,7,,
CHE,BHA,7,,
CRY,NOR,7,,
EVE,MCI,7,,
LEI,NEW,7,,
LIV,SHU,7,,
MCI,EVE,7,,
MUN,ARS,7,,
NEW,LEI,7,,
NOR,CRY,7,,
SHU,LIV,7,,
SOU,TOT,7,,
TOT,SOU,7,,
WAT,WOL,7,,
WHU,BOU,7,,
WOL,WAT,7,,
ARS,BOU,8,,
AVL,NOR,8,,
BOU,ARS,8,,
BHA,TOT,8,,
BUR,EVE,8,,
CHE,SOU,8,,
CRY,WHU,8,,
EVE,BUR,8,,
LEI,LIV,8,,
LIV,LEI,8,,
MCI,WOL,8,,
MUN,NEW,8,,
NEW,MUN,8,,
NOR,AVL,8,,
SHU,WAT,8,,
SOU,CHE,8,,
TOT,BHA,8,,
WAT,SHU,8,,
WHU,CRY,8,,
WOL,MCI,8,,
ARS,SHU,9,,
AVL,BHA,9,,
BOU,NOR,9,,
BHA,AVL,9,,
BUR,LEI,9,,
CHE,NEW,9,,
CRY,MCI,9,,
EVE,WHU,9,,
LEI,BUR,9,,
LIV,MUN,9,,
MCI,CRY,9,,
MUN,LIV,9,,
NEW,CHE,9,,
NOR,BOU,9,,
SHU,ARS,9,,
SOU,WOL,9,,
TOT,WAT,9,,
WAT,TOT,9,,
WHU,EVE,9,,
WOL,SOU,9,,
ARS,CRY,10,,
AVL,MCI,10,,
BOU,WAT,10,,
BHA,EVE,10,,
BUR,CHE,10,,
CHE,BUR,10,,
CRY,ARS,10,,
EVE,BHA,10,,
LEI,SOU,10,,
LIV,TOT,10,,
MCI,AVL,10,,
MUN,NOR,10,,
NEW,WOL,10,,
NOR,MUN,10,,
SHU,WHU,10,,
SOU,LEI,10,,
TOT,LIV,10,,
WAT,BOU,10,,
WHU,SHU,10,,
WOL,NEW,10,,
ARS,WOL,11,,
AVL,LIV,11,,
BOU,MUN,11,,
BHA,NOR,11,,
BUR,SHU,11,,
CHE,WAT,11,,
CRY,LEI,11,,
EVE,TOT,11,,
LEI,CRY,11,,
LIV,AVL,11,,
MCI,SOU,11,,
MUN,BOU,11,,
NEW,WHU,11,,
NOR,BHA,11,,
SHU,BUR,11,,
SOU,MCI,11,,
TOT,EVE,11,,
WAT,CHE,11,,
WHU,NEW,11,,
WOL,ARS,11,,
ARS,LEI,12,,
AVL,WOL,12,,
BOU,NEW,12,,
BHA,MUN,12,,
BUR,WHU,12,,
CHE,CRY,12,,
CRY,CHE,12,,
EVE,SOU,12,,
LEI,ARS,12,,
LIV,MCI,12,,
MCI,LIV,12,,
MUN,BHA,12,,
NEW,BOU,12,,
NOR,WAT,12,,
SHU,TOT,12,,
SOU,EVE,12,,
TOT,SHU,12,,
WAT,NOR,12,,
WHU,BUR,12,,
WOL,AVL,12,,
ARS,SOU,13,,
AVL,NEW,13,,
BOU,WOL,13,,
BHA,LEI,13,,
BUR,WAT,13,,
CHE,MCI,13,,
CRY,LIV,13,,
EVE,NOR,13,,
LEI,BHA,13,,
LIV,CRY,13,,
MCI,CHE,13,,
MUN,SHU,13,,
NEW,AVL,13,,
NOR,EVE,13,,
SHU,MUN,13,,
SOU,ARS,13,,
TOT,WHU,13,,
WAT,BUR,13,,
WHU,TOT,13,,
WOL,BOU,13,,
ARS,NOR,14,,
AVL,MUN,14,,
BOU,TOT,14,,
BHA,LIV,14,,
BUR,CRY,14,,
CHE,WHU,14,,
CRY,BUR,14,,
EVE,LEI,14,,
LEI,EVE,14,,
LIV,BHA,14,,
MCI,NEW,14,,
MUN,AVL,14,,
NEW,MCI,14,,
NOR,ARS,14,,
SHU,WOL,14,,
SOU,WAT,14,,
TOT,BOU,14,,
WAT,SOU,14,,
WHU,CHE,14,,
WOL,SHU,14,,
ARS,BHA,15,,
AVL,CHE,15,,
BOU,CRY,15,,
BHA,ARS,15,,
BUR,MCI,15,,
CHE,AVL,15,,
CRY,BOU,15,,
EVE,LIV,15,,
LEI,WAT,15,,
LIV,EVE,15,,
MCI,BUR,15,,
MUN,TOT,15,,
NEW,SHU,15,,
NOR,SOU,15,,
SHU,NEW,15,,
SOU,NOR,15,,
TOT,MUN,15,,
WAT,LEI,15,,
WHU,WOL,15,,
WOL,WHU,15,,
ARS,WHU,16,,
AVL,LEI,16,,
BOU,LIV,16,,
BHA,WOL,16,,
BUR,TOT,16,,
CHE,EVE,16,,
CRY,WAT,16,,
EVE,CHE,16,,
LEI,AVL,16,,
LIV,BOU,16,,
MCI,MUN,16,,
MUN,MCI,16,,
NEW,SOU,16,,
NOR,SHU,16,,
SHU,NOR,16,,
SOU,NEW,16,,
TOT,BUR,16,,
WAT,CRY,16,,
WHU,ARS,16,,
WOL,BHA,16,,
ARS,MCI,17,,
AVL,SHU,17,,
BOU,CHE,17,,
BHA,CRY,17,,
BUR,NEW,17,,
CHE,BOU,17,,
CRY,BHA,17,,
EVE,MUN,17,,
LEI,NOR,17,,
LIV,WAT,17,,
MCI,ARS,17,,
MUN,EVE,17,,
NEW,BUR,17,,
NOR,LEI,17,,
SHU,AVL,17,,
SOU,WHU,17,,
TOT,WOL,17,,
WAT,LIV,17,,
WHU,SOU,17,,
WOL,TOT,17,,
ARS,EVE,18,,
