"","assists.x","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","first_name","second_name","club","position.x","player_id","new_col","fpl_form","influence_form","creativity_form","threat_form","ict_index_form","point_att","team_form","minutes_chance","opponent","opponent_form","kickoff_time_formatted","date","hour","date_hour","kickoff_hour","range_day","X","player_name","year","goals","shots","xG","time","position.y","h_team","a_team","h_goals","a_goals","match_id","roster_id","xA","assists.y","key_passes","npg","npxG","xGChain","xGBuildup","Club","Elo","opponent_elo"
"1",0,0,16,0,1.4,274,1,4,0,2.7,25.8,2019-08-09,90,10,0,0,0,0,"1",0,168643,1,4,0,0,0,0,0,45,"False",0,"Maximillian","Aarons","NOR","FB",7688,NA,NA,NA,NA,NA,NA,0,NA,NA,"LIV",1.03125,2019-08-09,2019-08-09,"19:00",2019-08-09 19:00:00,"night kick-off",NA,21211,"Max Aarons",2019,0,0,0,90,"DR","Liverpool","Norwich",4,1,11643,341167,0,0,0,0,0,0.408449441194534,0.408449441194534,"Norwich",1630.75085449,2043.67858887
"2",0,0,7,0,14.2,274,17,1,0,3.6,4.2,2019-08-17,90,13,0,0,0,0,"2",0,172180,1,3,18,1,-5400,7470,12870,45,"True",1,"Maximillian","Aarons","NOR","FB",7688,NA,NA,NA,NA,NA,NA,2,NA,NA,"NEW",1.07142857142857,2019-08-17,2019-08-17,"14:00",2019-08-17 14:00:00,"lunchtime kick-off",7.79166666666667,21210,"Max Aarons",2019,0,1,0.0788017362356186,90,"DR","Norwich","Newcastle United",3,1,11657,341896,0.272431373596191,0,1,0,0.0788017362356186,1.50548124313354,1.42667949199677,"Norwich",1629.64562988,1709.84643555
"3",0,0,6,0,2.1,274,26,3,0,2.1,16.6,2019-08-24,90,6,0,0,0,0,"3",0,163903,3,2,2,1,-10690,7350,18040,45,"True",0,"Maximillian","Aarons","NOR","FB",7688,NA,NA,NA,NA,NA,NA,0,NA,NA,"CHE",0.694444444444444,2019-08-24,2019-08-24,"11:30",2019-08-24 11:30:00,"lunchtime kick-off",6.89583333333333,21209,"Max Aarons",2019,0,0,0,90,"DR","Norwich","Chelsea",2,3,11664,343813,0,0,0,0,0,0,0,"Norwich",1644.58190918,1865.88183594
"4",0,0,11,0,12.3,274,40,2,0,4.4,11.8,2019-08-31,90,19,0,0,0,0,"4",0,156762,0,2,20,0,-9359,6793,16152,45,"False",1,"Maximillian","Aarons","NOR","FB",7688,1,NA,NA,NA,NA,NA,0,NA,NA,"WHU",1.296875,2019-08-31,2019-08-31,"14:00",2019-08-31 14:00:00,"lunchtime kick-off",7.10416666666667,21208,"Max Aarons",2019,0,1,0.0207466538995504,90,"DR","West Ham","Norwich",2,0,11674,347413,0.466208517551422,0,1,0,0.0207466538995504,1.00422298908234,0.517267882823944,"Norwich",1641.55908203,1738.44958496
"5",0,0,0,0,0,274,46,0,0,0,0,2019-09-14,0,11,0,0,0,0,"5",0,129726,2,3,0,0,-27168,3047,30215,45,"True",0,"Maximillian","Aarons","NOR","FB",7688,0.75,0.5,14.6,7.5,10,3.2,2,0.5,1,"MCI",2,2019-09-14,2019-09-14,"16:30",2019-09-14 16:30:00,"afternoon kick-off",14.1041666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Norwich",1635.68798828,2046.64904785
"6",0,0,0,0,0,274,52,0,0,0,0,2019-09-21,0,5,0,0,0,0,"6",0,108527,0,2,0,0,-21884,297,22181,45,"False",0,"Maximillian","Aarons","NOR","FB",7688,0.5,0.5,8.15,7.15,10,2.525,0,1,0.75,"BUR",0.75,2019-09-21,2019-09-21,"14:00",2019-09-21 14:00:00,"lunchtime kick-off",6.89583333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Norwich",1643.2878418,1685.18591309
"7",0,0,11,0,4.4,274,64,2,0,2.7,13,2019-09-28,90,7,0,0,0,0,"7",0,94327,0,2,10,1,-14629,199,14828,44,"False",0,"Maximillian","Aarons","NOR","FB",7688,0.5,0.25,7.1,3.6,5.5,1.625,0,0.5,0.5,"CRY",1.375,2019-09-28,2019-09-28,"14:00",2019-09-28 14:00:00,"lunchtime kick-off",7,21207,"Max Aarons",2019,0,1,0.0195290483534336,90,"DR","Crystal Palace","Norwich",2,0,11709,354735,0,0,0,0,0.0195290483534336,0.0195290483534336,0,"Norwich",1635.63244629,1734.9017334
"8",0,0,7,0,14,274,77,5,0,3.4,0.2,2019-10-05,90,2,0,0,0,0,"8",0,93208,5,1,20,0,-1982,1608,3590,44,"True",0,"Maximillian","Aarons","NOR","FB",7688,0.5,0.25,6.2,4.175,7.5,1.775,0,0.5,0.5,"AVL",0.5,2019-10-05,2019-10-05,"14:00",2019-10-05 14:00:00,"lunchtime kick-off",7,21206,"Max Aarons",2019,0,2,0.0576978884637356,90,"DR","Norwich","Aston Villa",1,5,11717,356275,0.0569552481174469,0,1,0,0.0576978884637356,0.25509575009346,0.140442609786987,"Norwich",1628.2142334,1609.47033691
"9",0,0,18,1,12.5,274,82,0,0,2.2,5.6,2019-10-19,90,3,0,0,0,0,"9",0,89236,0,0,4,6,-4033,799,4832,44,"False",0,"Maximillian","Aarons","NOR","FB",7688,0.75,0.25,3.3,4.6,7.5,1.525,1.5,0.5,0.5,"BOU",1.375,2019-10-19,2019-10-19,"14:00",2019-10-19 14:00:00,"lunchtime kick-off",14,21205,"Max Aarons",2019,0,0,0,90,"DR","Bournemouth","Norwich",0,0,11724,357932,0.0174241084605455,0,1,0,0,0.0517733469605446,0.0343492366373539,"Norwich",1608.3861084,1700.71801758
"10",0,0,18,0,22.4,274,97,3,0,4.2,16,2019-10-27,90,12,0,0,0,0,"10",0,88986,3,1,4,0,-615,1203,1818,44,"True",1,"Maximillian","Aarons","NOR","FB",7688,1,1.75,4.7,7.725,8.5,2.075,0,0.375,0.75,"MUN",0.5,2019-10-27,2019-10-27,"16:30",2019-10-27 16:30:00,"afternoon kick-off",8.10416666666667,21204,"Max Aarons",2019,0,0,0,90,"DR","Norwich","Manchester United",1,3,11739,360333,0.492414683103561,0,2,0,0,0.676382601261139,0.676382601261139,"Norwich",1621.23547363,1827.53540039
