"","player"
"1","Andrew Robertson"
"21","Angelo Ogbonna"
"41","Aymeric Laporte"
"60","Ben Davies"
"79","Ben Mee"
"98","Cédric Soares"
"117","César Azpilicueta"
"136","Charlie Daniels"
"155","Conor Coady"
"174","Craig Cathcart"
"193","David Luiz"
"212","DeAndre Yedlin"
"231","Harry Maguire"
"250","Jamaal Lascelles"
"269","James Tomkins"
"288","Jan Bednarek"
"307","José Holebas"
"326","Kyle Walker"
"345","Lewis Dunk"
"364","Lucas Digne"
"383","Luke Shaw"
"402","Marcos Alonso"
"421","Martín Montoya"
"440","Matt Doherty"
"459","Matt Ritchie"
"478","Matthew Lowton"
"497","Michael Keane"
"516","Nathan Aké"
"535","Pablo Zabaleta"
"555","Patrick van Aanholt"
"574","Ricardo Pereira"
"593","Ryan Bertrand"
"612","Seamus Coleman"
"631","Toby Alderweireld"
"650","Trent Alexander-Arnold"
"670","Victor Lindelöf"
"689","Virgil van Dijk"
"709","Yerry Mina"
"728","Antonio Rüdiger"
"747","Ben Chilwell"
"766","Caglar Söyüncü"
"785","Christoph Zimmermann"
"804","Diego Rico"
"823","George Baldock"
"842","Jack O'Connell"
"861","John Stones"
"880","Matt Targett"
"899","Max Aarons"
"918","Sead Kolasinac"
"937","Serge Aurier"
"956","Sokratis"
"975","Tyrone Mings"
