"","player"
"1","Aaron Mooy"
"20","Abdoulaye Doucouré"
"39","Anthony Martial"
"58","Ayoze Pérez"
"77","Bernardo Silva"
"96","Christian Eriksen"
"115","David Silva"
"134","Davy Pröpper"
"153","Declan Rice"
"173","Felipe Anderson"
"193","Fernandinho"
"212","Granit Xhaka"
"231","Gylfi Sigurdsson"
"250","Henrikh Mkhitaryan"
"269","Jack Cork"
"288","James Maddison"
"307","James McArthur"
"326","James Ward-Prowse"
"345","Jefferson Lerma"
"364","Johann Berg Gudmundsson"
"383","Jordan Henderson"
"403","Kevin De Bruyne"
"422","Luka Milivojevic"
"441","Mark Noble"
"461","Michail Antonio"
"481","Mohamed Salah"
"501","N'Golo Kanté"
"520","Nathan Redmond"
"539","Nemanja Matic"
"558","Oriol Romeu"
"577","Pascal Groß"
"596","Paul Pogba"
"615","Pierre-Emile Højbjerg"
"634","Raheem Sterling"
"653","Richarlison"
"672","Roberto Pereyra"
"691","Rúben Neves"
"710","Ryan Fraser"
"729","Sadio Mané"
"749","Son Heung-Min"
"768","Víctor Camarasa"
"787","Wilfred Ndidi"
"806","Wilfried Zaha"
"825","Willian"
"844","Youri Tielemans"
"863","Adama Traoré"
"882","Christian Pulisic"
"901","Dele Alli"
"920","Fabian Delph"
"939","Frederic Guilbert"
"958","Harry Wilson"
"977","Jack Grealish"
"996","John Lundstram"
"1015","John McGinn"
"1034","Jonjo Shelvey"
"1053","Mason Mount"
"1072","Miguel Almirón"
"1091","Nicolas Pepe"
"1110","Oliver Norwood"
"1129","Riyad Mahrez"
"1148","Todd Cantwell"
"1167","Tom Trybull"
