"","player","round","club","opponent","was_home","total_points","goals","assists","minutes","club_elo","opponent_elo","position","value","influence_form","creativity_form","threat_form","ict_index_form","date_hour","kickoff_hour","range_day","team_scoring_form","team_conceded_form","opponent_scoring_form","opponent_conceded_form","xG","xA","shots","key_passes","team_form","opponent_form","fpl_form","goals_90","assists_90","npxG_90","npg_90","xG_90","xGChain_90","xGBuildup_90","xA_90","shots_90","key_passes_90","season"
"1","Abdoulaye Doucouré","1","WAT","BHA","True",3,0,0,90,1623.49584961,1630.09216309,"DM",60,0,0,0,0,"2018-08-11 15:00:00","afternoon kick-off",0,0,0,1.33333333333333,1.83333333333333,0,0.0961031019687653,0,2,0,0.958333333333333,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
"2","Abdoulaye Doucouré","2","WAT","BUR","False",6,0,1,90,1635.50439453,1701.90026855,"DM",60,0,0,0,0,"2018-08-19 13:30:00","lunchtime kick-off",7.9375,0,0,0.694444444444444,1.22222222222222,0,0.418454557657242,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
"3","Abdoulaye Doucouré","3","WAT","CRY","True",2,0,0,90,1648.22375488,1694.85961914,"DM",60,0,0,0,0,"2018-08-26 13:30:00","lunchtime kick-off",7,0,0,1.29166666666667,1.25,0.0597020611166954,0.186652719974518,2,3,0,1.27083333333333,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
"4","Abdoulaye Doucouré","4","WAT","TOT","True",0,0,0,90,1653.37145996,1929.41467285,"DM",60,0,0,0,0,"2018-09-02 16:00:00","afternoon kick-off",7.10416666666667,0,0,2.5625,0.90625,0,0,0,0,0,2.109375,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
"5","Abdoulaye Doucouré","5","WAT","MUN","True",8,0,1,90,1666.4942627,1860.18920898,"DM",59,14.25,20.85,5.5,4.05,"2018-09-15 17:30:00","afternoon kick-off",13.0625,2.25,0.75,1.5,1.75,0.0927578210830688,0.109141424298286,4,1,2.125,1.125,2.75,0,0.25,0.0149255152791738,0,0.0149255152791738,0.0454375538975001,0.0594205791130663,0.175302594900131,0.5,1.5,"2018/2019"
"6","Abdoulaye Doucouré","6","WAT","FUL","False",2,0,0,90,1660.16992188,1623.76843262,"DM",59,19.1,17.825,9.75,4.675,"2018-09-22 12:30:00","lunchtime kick-off",6.79166666666667,2,1.25,1.75,2.5,0.0795156359672546,0.12510459125042,1,2,1.625,0.875,4,0,0.5,0.038114970549941,0,0.038114970549941,0.0751022454351186,0.101583489216864,0.178562175482511,1.5,1.25,"2018/2019"
"7","Abdoulaye Doucouré","7","WAT","ARS","False",1,0,0,90,1661.03405762,1821.44042969,"DM",59,14.7,19.125,11.5,4.55,"2018-09-29 15:00:00","afternoon kick-off",7.10416666666667,1.5,1.25,2.5,1,0.614943563938141,0.0395754873752594,3,1,1.375,2.25,3,0,0.25,0.0579938795417547,0,0.0579938795417547,0.0892700273543595,0.0817206753417851,0.105224683880806,1.75,1.5,"2018/2019"
"8","Abdoulaye Doucouré","8","WAT","BOU","True",1,0,0,90,1652.42358398,1671.29528809,"DM",59,14.5,12.85,10.75,3.825,"2018-10-06 15:00:00","afternoon kick-off",7,1,1.5,1.5,2.25,0.0566964149475098,0,2,0,0.875,1,2.75,0,0.25,0.196804255247116,0,0.196804255247116,0.25882177054882,0.129334174096584,0.0684553757309913,2,1,"2018/2019"
"9","Abdoulaye Doucouré","9","WAT","WOL","False",11,0,2,90,1634.18664551,1631.15161133,"DM",59,15,13.225,14.25,4.25,"2018-10-20 15:00:00","afternoon kick-off",14,0.5,2.25,1.25,0.25,0.435699611902237,0.38456791639328,2,4,0.375,2,3,0,0.25,0.210978358983994,0,0.210978358983994,0.239858970046043,0.127702748402953,0.0684553757309913,2.5,1,"2018/2019"
"10","Abdoulaye Doucouré","10","WAT","HUD","True",3,0,0,90,1650.25341797,1542.15039062,"DM",59,21.6,21.075,18.75,6.15,"2018-10-27 15:00:00","afternoon kick-off",7,0.75,1.75,0.5,1.75,0,0.0957143232226372,0,1,1,0.375,3.75,0,0.5,0.296713806688786,0,0.296713806688786,0.404817700386047,0.127008391544223,0.13731199875474,2,1.75,"2018/2019"
"11","Abdoulaye Doucouré","11","WAT","NEW","False",2,0,0,90,1657.46081543,1624.91308594,"DM",59,22,18.825,17,5.775,"2018-11-03 15:00:00","afternoon kick-off",7,1.25,1.5,0.5,1.5,0,0.502609610557556,0,1,1.125,0.375,4,0,0.5,0.276834897696972,0,0.276834897696972,0.442676804959774,0.268921716138721,0.129964431747794,1.75,1.5,"2018/2019"
"12","Abdoulaye Doucouré","12","WAT","SOU","False",2,0,0,90,1648.5324707,1621.06201172,"DM",59,25.4,19.1,14.75,5.925,"2018-11-10 15:00:00","afternoon kick-off",7,1.25,1.25,0.25,2.25,0,0.0252638887614012,0,1,1.125,0.625,4.25,0,0.5,0.123099006712437,0,0.123099006712437,0.385790504515172,0.349301585927606,0.245722962543368,1,1.5,"2018/2019"
"13","Abdoulaye Doucouré","13","WAT","LIV","True",2,0,0,90,1649.60290527,1912.74719238,"DM",59,28,21.575,11.75,6.125,"2018-11-24 15:00:00","afternoon kick-off",14,1.5,0.5,2,0.5,0,0,0,0,1.5,2,4.5,0,0.5,0.108924902975559,0,0.108924902975559,0.132764248177409,0.337944345548749,0.252038934733719,0.5,1.75,"2018/2019"
"14","Abdoulaye Doucouré","14","WAT","LEI","False",2,0,0,90,1644.68505859,1687.63598633,"DM",59,16.1,10.9,2.5,2.925,"2018-12-01 15:00:00","afternoon kick-off",7,1,1.25,0.75,0.5,0.0711177065968513,0,2,0,0.875,1.5,2.25,0,0,0,0,0,0.00493862899020315,0.301414421293885,0.155896955635399,0,0.75,"2018/2019"
"15","Abdoulaye Doucouré","15","WAT","MCI","True",8,1,0,90,1636.89819336,1998.7956543,"DM",59,13.25,8.7,5.75,2.75,"2018-12-04 20:00:00","night kick-off",3.20833333333333,0.25,1.75,4,0.75,1.59635543823242,0.342770457267761,5,1,0.375,2.125,2,0,0,0.0177794266492128,0,0.0177794266492128,0.0886305943131448,0.234053059015423,0.131968374829739,0.5,0.5,"2018/2019"
"16","Abdoulaye Doucouré","16","WAT","EVE","False",8,1,0,90,1634.95959473,1704.15014648,"DM",59,19.65,8.325,34.75,6.25,"2018-12-10 20:00:00","night kick-off",6,0.5,2,0.5,0.5,0.615984439849854,0,3,0,0.375,1.125,3.5,0.25,0,0.416868286207318,0.25,0.416868286207318,0.502560900524258,0.101766838692129,0.0920085865072905,1.75,0.5,"2018/2019"
"17","Abdoulaye Doucouré","17","WAT","CAR","True",5,0,1,90,1637.47741699,1562.89794922,"DM",59,28.5,5.675,48.5,8.25,"2018-12-15 15:00:00","afternoon kick-off",4.79166666666667,0.75,2.25,1,1.25,0.103877104818821,0.430904000997543,1,2,0.375,1,5,0.5,0,0.570864396169781,0.5,0.570864396169781,0.587127150967717,0.103137486614287,0.0856926143169403,2.5,0.25,"2018/2019"
"18","Abdoulaye Doucouré","18","WAT","WHU","False",3,0,0,90,1642.4017334,1698.95410156,"DM",59,35.15,12.85,53.25,10.125,"2018-12-22 15:00:00","afternoon kick-off",7,1.5,2,2.75,0.75,0.41359007358551,0,1,0,0.875,2.25,5.75,0.5,0.25,0.596833672374487,0.5,0.596833672374487,0.868473874405026,0.262113061267883,0.193418614566326,2.75,0.75,"2018/2019"
"19","Abdoulaye Doucouré","19","WAT","CHE","True",2,0,0,90,1657.98535156,1849.51049805,"DM",59,39.3,12.45,54.25,10.6,"2018-12-26 19:30:00","night kick-off",4.1875,2,1.5,1.25,1,0.620289206504822,0.337454974651337,5,1,1.5,1.125,6,0.5,0.25,0.682451764121651,0.5,0.682451764121651,0.783057430759072,0.288166765589267,0.193418614566326,2.5,0.75,"2018/2019"
"20","Abdoulaye Doucouré","20","WAT","NEW","True",7,1,0,36,1653.30114746,1626.62316895,"DM",59,29.05,13.675,43,8.575,"2018-12-29 15:00:00","afternoon kick-off",2.8125,2,1.5,0.5,1.5,0.263219207525253,0,1,0,1.5,0.875,4.5,0.25,0.25,0.438435206189752,0.25,0.438435206189752,0.522798934951425,0.308882314711809,0.19208974391222,2.5,0.75,"2018/2019"
