"","player","round","club","opponent","was_home","total_points","goals","assists","minutes","club_elo","opponent_elo","position","value","influence_form","creativity_form","threat_form","ict_index_form","date_hour","kickoff_hour","range_day","team_scoring_form","team_conceded_form","opponent_scoring_form","opponent_conceded_form","team_form","opponent_form","fpl_form","goals_90","assists_90","npxG_90","npg_90","xG_90","xGChain_90","xGBuildup_90","xA_90","shots_90","key_passes_90","season","minutes_chance","scoring_chance","conceded_chance"
"1","Abdoulaye Doucouré","5","WAT","MUN","True",8,0,1,90,1666.494,1860.189,"DM",59,14.25,20.85,5.5,4.05,"2018-09-15 17:30:00","afternoon kick-off",13.062,2.25,0.75,1.5,1.75,2.125,1.125,2.75,0,0.25,0.015,0,0.015,0.045,0.059,0.175,0.5,1.5,"2018/2019",1,2,1.125
"2","Abdoulaye Doucouré","6","WAT","FUL","False",2,0,0,90,1660.17,1623.768,"DM",59,19.1,17.825,9.75,4.675,"2018-09-22 12:30:00","lunchtime kick-off",6.792,2,1.25,1.75,2.5,1.625,0.875,4,0,0.5,0.038,0,0.038,0.075,0.102,0.179,1.5,1.25,"2018/2019",1,2.25,1.5
"3","Abdoulaye Doucouré","7","WAT","ARS","False",1,0,0,90,1661.034,1821.44,"DM",59,14.7,19.125,11.5,4.55,"2018-09-29 15:00:00","afternoon kick-off",7.104,1.5,1.25,2.5,1,1.375,2.25,3,0,0.25,0.058,0,0.058,0.089,0.082,0.105,1.75,1.5,"2018/2019",1,1.25,1.875
"4","Abdoulaye Doucouré","8","WAT","BOU","True",1,0,0,90,1652.424,1671.295,"DM",59,14.5,12.85,10.75,3.825,"2018-10-06 15:00:00","afternoon kick-off",7,1,1.5,1.5,2.25,0.875,1,2.75,0,0.25,0.197,0,0.197,0.259,0.129,0.068,2,1,"2018/2019",1,1.625,1.5
"5","Abdoulaye Doucouré","9","WAT","WOL","False",11,0,2,90,1634.187,1631.152,"DM",59,15,13.225,14.25,4.25,"2018-10-20 15:00:00","afternoon kick-off",14,0.5,2.25,1.25,0.25,0.375,2,3,0,0.25,0.211,0,0.211,0.24,0.128,0.068,2.5,1,"2018/2019",1,0.375,1.75
"6","Abdoulaye Doucouré","10","WAT","HUD","True",3,0,0,90,1650.253,1542.15,"DM",59,21.6,21.075,18.75,6.15,"2018-10-27 15:00:00","afternoon kick-off",7,0.75,1.75,0.5,1.75,1,0.375,3.75,0,0.5,0.297,0,0.297,0.405,0.127,0.137,2,1.75,"2018/2019",1,1.25,1.125
"7","Abdoulaye Doucouré","11","WAT","NEW","False",2,0,0,90,1657.461,1624.913,"DM",59,22,18.825,17,5.775,"2018-11-03 15:00:00","afternoon kick-off",7,1.25,1.5,0.5,1.5,1.125,0.375,4,0,0.5,0.277,0,0.277,0.443,0.269,0.13,1.75,1.5,"2018/2019",1,1.375,1
"8","Abdoulaye Doucouré","12","WAT","SOU","False",2,0,0,90,1648.532,1621.062,"DM",59,25.4,19.1,14.75,5.925,"2018-11-10 15:00:00","afternoon kick-off",7,1.25,1.25,0.25,2.25,1.125,0.625,4.25,0,0.5,0.123,0,0.123,0.386,0.349,0.246,1,1.5,"2018/2019",1,1.75,0.75
"9","Abdoulaye Doucouré","13","WAT","LIV","True",2,0,0,90,1649.603,1912.747,"DM",59,28,21.575,11.75,6.125,"2018-11-24 15:00:00","afternoon kick-off",14,1.5,0.5,2,0.5,1.5,2,4.5,0,0.5,0.109,0,0.109,0.133,0.338,0.252,0.5,1.75,"2018/2019",1,1,1.25
"10","Abdoulaye Doucouré","14","WAT","LEI","False",2,0,0,90,1644.685,1687.636,"DM",59,16.1,10.9,2.5,2.925,"2018-12-01 15:00:00","afternoon kick-off",7,1,1.25,0.75,0.5,0.875,1.5,2.25,0,0,0,0,0,0.005,0.301,0.156,0,0.75,"2018/2019",1,0.75,1
"11","Abdoulaye Doucouré","15","WAT","MCI","True",8,1,0,90,1636.898,1998.796,"DM",59,13.25,8.7,5.75,2.75,"2018-12-04 20:00:00","night kick-off",3.208,0.25,1.75,4,0.75,0.375,2.125,2,0,0,0.018,0,0.018,0.089,0.234,0.132,0.5,0.5,"2018/2019",1,0.5,2.875
"12","Abdoulaye Doucouré","16","WAT","EVE","False",8,1,0,90,1634.96,1704.15,"DM",59,19.65,8.325,34.75,6.25,"2018-12-10 20:00:00","night kick-off",6,0.5,2,0.5,0.5,0.375,1.125,3.5,0.25,0,0.417,0.25,0.417,0.503,0.102,0.092,1.75,0.5,"2018/2019",1,0.5,1.25
"13","Abdoulaye Doucouré","17","WAT","CAR","True",5,0,1,90,1637.477,1562.898,"DM",59,28.5,5.675,48.5,8.25,"2018-12-15 15:00:00","afternoon kick-off",4.792,0.75,2.25,1,1.25,0.375,1,5,0.5,0,0.571,0.5,0.571,0.587,0.103,0.086,2.5,0.25,"2018/2019",1,1,1.625
"14","Abdoulaye Doucouré","18","WAT","WHU","False",3,0,0,90,1642.402,1698.954,"DM",59,35.15,12.85,53.25,10.125,"2018-12-22 15:00:00","afternoon kick-off",7,1.5,2,2.75,0.75,0.875,2.25,5.75,0.5,0.25,0.597,0.5,0.597,0.868,0.262,0.193,2.75,0.75,"2018/2019",1,1.125,2.375
"15","Abdoulaye Doucouré","19","WAT","CHE","True",2,0,0,90,1657.985,1849.51,"DM",59,39.3,12.45,54.25,10.6,"2018-12-26 19:30:00","night kick-off",4.188,2,1.5,1.25,1,1.5,1.125,6,0.5,0.25,0.682,0.5,0.682,0.783,0.288,0.193,2.5,0.75,"2018/2019",1,1.5,1.375
"16","Abdoulaye Doucouré","20","WAT","NEW","True",7,1,0,36,1653.301,1626.623,"DM",59,29.05,13.675,43,8.575,"2018-12-29 15:00:00","afternoon kick-off",2.812,2,1.5,0.5,1.5,1.5,0.875,4.5,0.25,0.25,0.438,0.25,0.438,0.523,0.309,0.192,2.5,0.75,"2018/2019",1,1.75,1
"17","Abdoulaye Doucouré","21","WAT","BOU","False",0,0,0,55,1650.978,1661.28,"DM",59,24.9,14.5,33,7.25,"2019-01-02 19:45:00","night kick-off",4.198,1.75,1.25,0.75,2.75,1.375,0.5,4.25,0.294,0.294,0.412,0.294,0.412,0.412,0.341,0.226,2.353,0.882,"2018/2019",0.85,2.25,1
"18","Abdoulaye Doucouré","22","WAT","CRY","False",2,0,0,90,1652.76,1667.364,"DM",59,16.2,12.3,28.5,5.7,"2019-01-12 15:00:00","afternoon kick-off",9.802,1.75,1.5,1.25,0.75,1.25,1.5,3,0.332,0,0.445,0.332,0.445,0.499,0.182,0.151,2.657,0.996,"2018/2019",0.753,1.25,1.375
"19","Abdoulaye Doucouré","23","WAT","BUR","True",0,0,0,0,1662.314,1622.993,"DM",59,14.25,14.9,24.25,5.35,"2019-01-19 15:00:00","afternoon kick-off",7,1.75,1.75,1.75,1.75,1.25,1.625,2.75,0.332,0,0.337,0.332,0.337,0.384,0.095,0.176,2.989,1.328,"2018/2019",0.753,1.75,1.75
"20","Abdoulaye Doucouré","24","WAT","TOT","False",0,0,0,0,1659.687,1895.382,"DM",59,12.4,10.725,5.5,2.875,"2019-01-30 20:00:00","night kick-off",11.208,1.5,1.25,1.5,1.25,1.5,1.25,2.25,0,0,0,0,0,0,0,0,0,1.492,"2018/2019",0.503,1.375,1.375
"21","Abdoulaye Doucouré","25","WAT","BHA","False",0,0,0,0,1657.584,1623.371,"DM",59,3.75,9.15,0.75,1.375,"2019-02-02 15:00:00","afternoon kick-off",2.792,1.5,1.5,1.25,2.25,1.25,0.375,0.5,0,0,0,0,0,0,0,0,0,1.862,"2018/2019",0.403,1.875,1.375
"22","Abdoulaye Doucouré","26","WAT","EVE","True",3,0,0,90,1658.306,1671.957,"DM",59,3.35,3.575,0.5,0.75,"2019-02-09 15:00:00","afternoon kick-off",7,0.75,0.75,0.75,1.75,1.25,0.625,0.5,0,0,0,0,0,0,0,0,0,1,"2018/2019",0.25,1.25,0.75
"23","Abdoulaye Doucouré","27","WAT","CAR","False",6,0,1,90,1666.925,1578.669,"DM",59,3.9,3.4,0,0.725,"2019-02-22 19:45:00","night kick-off",13.198,0.5,0.5,1.25,1.5,1.125,1.125,0.75,0,0,0,0,0,0,0,0,0,1,"2018/2019",0.25,1,0.875
"24","Abdoulaye Doucouré","28","WAT","LIV","False",2,0,0,90,1681.551,1939.854,"DM",59,13.1,9.35,0,2.25,"2019-02-27 20:00:00","night kick-off",5.01,1.75,0.75,1.25,0.5,1.5,1.5,2.25,0,0.5,0,0,0,0,0,0,0,1,"2018/2019",0.5,1.125,1
"25","Abdoulaye Doucouré","29","WAT","LEI","True",1,0,0,90,1677.432,1671.005,"DM",59,18.05,10.025,0,2.825,"2019-03-03 12:00:00","lunchtime kick-off",3.667,1.5,1.5,1,2.25,1.5,0.5,2.75,0,0.333,0,0,0,0,0,0,0,0.667,"2018/2019",0.75,1.875,1.25
"26","Abdoulaye Doucouré","30","WAT","MCI","False",2,0,0,90,1690.193,1990.931,"DM",59,23.6,10.8,2.25,3.675,"2019-03-09 17:30:00","afternoon kick-off",6.229,2,1.75,2.5,0,1.625,2.25,3,0,0.25,0.006,0,0.006,0.006,0.157,0.212,0.25,0.5,"2018/2019",1,1,2.125
"27","Abdoulaye Doucouré","32","WAT","MUN","False",10,1,0,90,1700.414,1900.193,"DM",59,21.3,7.725,2.25,3.15,"2019-03-30 15:00:00","afternoon kick-off",20.896,2,2.5,1.5,1.25,1.125,1.375,2.75,0,0.25,0.006,0,0.006,0.006,0.157,0.203,0.25,0.25,"2018/2019",1,1.625,2
"28","Abdoulaye Doucouré","32","WAT","FUL","True",7,1,0,90,1697.932,1560.098,"DM",59,22.15,5.85,16,4.425,"2019-04-02 19:45:00","night kick-off",3.198,1,2.75,0.75,2.25,0.5,0,3.75,0.25,0,0.188,0.25,0.188,0.261,0.243,0.015,1.25,0.25,"2018/2019",1,1.625,1.75
"29","Abdoulaye Doucouré","34","WAT","ARS","True",2,0,0,90,1707.719,1888.784,"DM",59,31.4,11.325,29.5,7.225,"2019-04-15 20:00:00","night kick-off",13.01,2,1.75,1.25,0.5,1,1.375,5,0.5,0,0.242,0.5,0.242,0.316,0.313,0.042,2,0.75,"2018/2019",1,1.25,1.5
"30","Abdoulaye Doucouré","35","WAT","HUD","False",5,0,1,90,1704.304,1505.007,"DM",60,27.7,13.625,27.75,6.925,"2019-04-20 15:00:00","afternoon kick-off",4.792,1.5,1.75,1,3.5,0.5,0,5.25,0.5,0,0.236,0.5,0.236,0.252,0.323,0.047,1.75,1,"2018/2019",1,2.5,1.375
"31","Abdoulaye Doucouré","35","WAT","SOU","True",1,0,0,90,1709.217,1679.214,"DM",60,30.35,17.125,37.5,8.5,"2019-04-23 19:45:00","night kick-off",3.198,1.75,1.25,1.5,1.75,1.125,1.125,6,0.5,0.25,0.292,0.5,0.292,0.318,0.33,0.066,2.25,1.25,"2018/2019",1,1.75,1.375
"32","Abdoulaye Doucouré","36","WAT","WOL","True",2,0,0,90,1706.374,1697.286,"DM",60,24.4,20.05,30,7.425,"2019-04-27 15:00:00","afternoon kick-off",3.802,1.75,1,1.5,1.25,1.375,1.25,3.75,0.25,0.25,0.134,0.25,0.134,0.203,0.147,0.072,1.5,1.5,"2018/2019",1,1.5,1.25
