"","player","position","club","round","season","goals","assists","sum_goals","sum_assists","sum_total_points","sum_xG","sum_xA","sum_shots","sum_KP","sum_xG90","sum_goal90","sum_xA90","sum_assists90","sum_shots90","sum_KP90","value","color"
"1","Abdoulaye Doucouré","DM","WAT","1","2018/2019",0,0,0,0,3,0,0.096,0,2,0,0,0.096,0,0,2,6,"#eddf1c"
"2","Abdoulaye Doucouré","DM","WAT","2","2018/2019",0,1,0,1,9,0,0.515,0,3,0,0,0.515,1,0,3,6,"#eddf1c"
"3","Abdoulaye Doucouré","DM","WAT","3","2018/2019",0,0,0,1,11,0.06,0.701,2,6,0.06,0,0.701,1,2,6,6,"#eddf1c"
"4","Abdoulaye Doucouré","DM","WAT","4","2018/2019",0,0,0,1,11,0.06,0.701,2,6,0.06,0,0.701,1,2,6,6,"#eddf1c"
"5","Abdoulaye Doucouré","DM","WAT","5","2018/2019",0,1,0,2,19,0.152,0.81,6,7,0.152,0,0.81,2,6,7,5.9,"#eddf1c"
"6","Abdoulaye Doucouré","DM","WAT","6","2018/2019",0,0,0,2,21,0.232,0.935,7,9,0.232,0,0.935,2,7,9,5.9,"#eddf1c"
"7","Abdoulaye Doucouré","DM","WAT","7","2018/2019",0,0,0,2,22,0.847,0.975,10,10,0.847,0,0.975,2,10,10,5.9,"#eddf1c"
"8","Abdoulaye Doucouré","DM","WAT","8","2018/2019",0,0,0,2,23,0.904,0.975,12,10,0.904,0,0.975,2,12,10,5.9,"#eddf1c"
"9","Abdoulaye Doucouré","DM","WAT","9","2018/2019",0,2,0,4,34,1.339,1.36,14,14,1.339,0,1.36,4,14,14,5.9,"#eddf1c"
"10","Abdoulaye Doucouré","DM","WAT","10","2018/2019",0,0,0,4,37,1.339,1.455,14,15,1.339,0,1.455,4,14,15,5.9,"#eddf1c"
"11","Abdoulaye Doucouré","DM","WAT","11","2018/2019",0,0,0,4,39,1.339,1.958,14,16,1.339,0,1.958,4,14,16,5.9,"#eddf1c"
"12","Abdoulaye Doucouré","DM","WAT","12","2018/2019",0,0,0,4,41,1.339,1.983,14,17,1.339,0,1.983,4,14,17,5.9,"#eddf1c"
"13","Abdoulaye Doucouré","DM","WAT","13","2018/2019",0,0,0,4,43,1.339,1.983,14,17,1.339,0,1.983,4,14,17,5.9,"#eddf1c"
"14","Abdoulaye Doucouré","DM","WAT","14","2018/2019",0,0,0,4,45,1.41,1.983,16,17,1.41,0,1.983,4,16,17,5.9,"#eddf1c"
"15","Abdoulaye Doucouré","DM","WAT","15","2018/2019",1,0,1,4,53,3.007,2.326,21,18,3.007,1,2.326,4,21,18,5.9,"#eddf1c"
"16","Abdoulaye Doucouré","DM","WAT","16","2018/2019",1,0,2,4,61,3.623,2.326,24,18,3.623,2,2.326,4,24,18,5.9,"#eddf1c"
"17","Abdoulaye Doucouré","DM","WAT","17","2018/2019",0,1,2,5,66,3.727,2.757,25,20,3.727,2,2.757,5,25,20,5.9,"#eddf1c"
"18","Abdoulaye Doucouré","DM","WAT","18","2018/2019",0,0,2,5,69,4.14,2.757,26,20,4.14,2,2.757,5,26,20,5.9,"#eddf1c"
"19","Abdoulaye Doucouré","DM","WAT","19","2018/2019",0,0,2,5,71,4.761,3.094,31,21,4.761,2,3.094,5,31,21,5.9,"#eddf1c"
"20","Abdoulaye Doucouré","DM","WAT","20","2018/2019",1,0,3,5,78,5.024,3.094,32,21,5.419,4.5,3.094,5,33.5,21,5.9,"#eddf1c"
