"","club","round","fixture"
"1","ARS","1",1
"2","BHA","1",9
"3","BOU","1",2
"4","BUR","1",8
"5","CAR","1",2
"6","CHE","1",4
"7","CRY","1",3
"8","EVE","1",10
"9","FUL","1",3
"10","HUD","1",4
"11","LEI","1",6
"12","LIV","1",5
"13","MCI","1",1
"14","MUN","1",6
"15","NEW","1",7
"16","SOU","1",8
"17","TOT","1",7
"18","WAT","1",9
"19","WHU","1",5
"20","WOL","1",10
"21","ARS","2",14
"22","BHA","2",11
"23","BOU","2",20
"24","BUR","2",12
"25","CAR","2",13
"26","CHE","2",14
"27","CRY","2",15
"28","EVE","2",16
"29","FUL","2",19
"30","HUD","2",18
"31","LEI","2",17
"32","LIV","2",15
"33","MCI","2",18
"34","MUN","2",11
"35","NEW","2",13
"36","SOU","2",16
"37","TOT","2",19
"38","WAT","2",12
"39","WHU","2",20
"40","WOL","2",17
"41","ARS","3",21
"42","BHA","3",25
"43","BOU","3",22
"44","BUR","3",23
"45","CAR","3",24
"46","CHE","3",27
"47","CRY","3",29
"48","EVE","3",22
"49","FUL","3",23
"50","HUD","3",24
"51","LEI","3",28
"52","LIV","3",25
"53","MCI","3",30
"54","MUN","3",26
"55","NEW","3",27
"56","SOU","3",28
"57","TOT","3",26
"58","WAT","3",29
"59","WHU","3",21
"60","WOL","3",30
"61","ARS","4",33
"62","BHA","4",31
"63","BOU","4",34
"64","BUR","4",32
"65","CAR","4",33
"66","CHE","4",34
"67","CRY","4",35
"68","EVE","4",36
"69","FUL","4",31
"70","HUD","4",36
"71","LEI","4",37
"72","LIV","4",37
"73","MCI","4",38
"74","MUN","4",32
"75","NEW","4",38
"76","SOU","4",35
"77","TOT","4",39
"78","WAT","4",39
"79","WHU","4",40
"80","WOL","4",40
"81","ARS","5",46
"82","BHA","5",47
"83","BOU","5",41
"84","BUR","5",50
"85","CAR","5",42
"86","CHE","5",42
"87","CRY","5",44
"88","EVE","5",43
"89","FUL","5",45
"90","HUD","5",44
"91","LEI","5",41
"92","LIV","5",48
"93","MCI","5",45
"94","MUN","5",49
"95","NEW","5",46
"96","SOU","5",47
"97","TOT","5",48
"98","WAT","5",49
